"filename", "language", "Properties", "JavaScript", "JSON", "HTML", "vue", "Markdown", "CSS", "YAML", "SCSS", "comment", "blank", "total"
"c:\Users\coolpc\Desktop\zibidi-02\src\views\Modals\AddTag.vue", "vue", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 5, 132
"c:\Users\coolpc\Desktop\zibidi-02\src\views\Modals\MyModal.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\coolpc\Desktop\zibidi-02\src\views\Modals\tagroutes.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\coolpc\Desktop\zibidi-02\src\views\PostsView.vue", "vue", 0, 0, 0, 0, 122, 0, 0, 0, 0, 4, 6, 132
"c:\Users\coolpc\Desktop\zibidi-02\src\views\PostsViewTest.vue", "vue", 0, 0, 0, 0, 207, 0, 0, 0, 0, 9, 6, 222
"c:\Users\coolpc\Desktop\zibidi-02\src\views\ProfileTwo.vue", "vue", 0, 0, 0, 0, 178, 0, 0, 0, 0, 1, 4, 183
"c:\Users\coolpc\Desktop\zibidi-02\src\views\ProfileView.vue", "vue", 0, 0, 0, 0, 175, 0, 0, 0, 0, 1, 3, 179
"c:\Users\coolpc\Desktop\zibidi-02\src\views\ProfileViews\ProfileAbout.vue", "vue", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\coolpc\Desktop\zibidi-02\src\views\ProfileViews\ProfileHome.vue", "vue", 0, 0, 0, 0, 102, 0, 0, 0, 0, 4, 4, 110
"c:\Users\coolpc\Desktop\zibidi-02\src\views\ProfileViews\ProfileSettings.vue", "vue", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsView.vue", "vue", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsViews\Modals\CanvasModal.vue", "vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsViews\Modals\EMail.vue", "vue", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 2, 93
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsViews\Modals\ProfilePhoto.vue", "vue", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 5, 131
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsViews\Modals\TestingVue.vue", "vue", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 8, 119
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsViews\Modals\UserName.vue", "vue", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 2, 91
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsViews\Modals\cropper.min.css", "CSS", 0, 0, 0, 0, 0, 0, 256, 0, 0, 9, 1, 266
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SettingsViews\ProfileSettings.vue", "vue", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 3, 81
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SignIn.vue", "vue", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 9, 144
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SignUp.vue", "vue", 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 6, 169
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SinglePost.vue", "vue", 0, 0, 0, 0, 303, 0, 0, 0, 0, 2, 10, 315
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SinglePost\Comments.vue", "vue", 0, 0, 0, 0, 264, 0, 0, 0, 0, 2, 10, 276
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SinglePost\comment.json", "JSON", 0, 0, 739, 0, 0, 0, 0, 0, 0, 0, 1, 740
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SinglePost\heart.json", "JSON", 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 1, 448
"c:\Users\coolpc\Desktop\zibidi-02\src\views\SinglePost\like.json", "JSON", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 1, 376
"c:\Users\coolpc\Desktop\zibidi-02\src\views\WriteView.vue", "vue", 0, 0, 0, 0, 217, 0, 0, 0, 0, 1, 9, 227
"c:\Users\coolpc\Desktop\zibidi-02\src\views\WriteViewOld.vue", "vue", 0, 0, 0, 0, 317, 0, 0, 0, 0, 2, 14, 333
"c:\Users\coolpc\Desktop\zibidi-02\tailwind.config.cjs", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\coolpc\Desktop\zibidi-02\vite.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 2, 26
"Total", "-", 1, 302, 1611, 22, 4095, 4, 1473, 18, 99, 145, 254, 8024
